kor,eng
급수탑,water tower
도마뱀,"whiptail, whiptail lizard"
호루라기,whistle
가발,wig
멧돼지,"wild boar, boar, Sus scrofa"
창문,window screen
블라인드,window shade
와인병,wine bottle
토끼,"wood rabbit, cottontail, cottontail rabbit"
얼룩말,zebra
가재,
썰매,
바퀴,
"휴대전화(바형, 버튼식)",
TV거실장,
커피,
소라류,
호른,
두루미,
독서실책상,
일자형책상,
북,
아령,
지게차,
석쇠,
소,
헤어스타일링 기기(고데기),
암사자,
거북,
확성기,
실로폰,
페인트붓,
브러시(화장용),
오픈카,
침대,
러닝셔츠,
괘종시계,
핸드백(토트백),
드럼세탁기,
거실테이블,
사이드테이블,
거실의자,
좌식의자,
협탁,
사무용의자,
야외용의자(선베드),
"주방수납장(상부, 하부장)",
싱크대,
스툴,
2층침대,
화장대(+거울),
공기청정기,
스탠드에어컨,
벽걸이에어컨,
가습기,
제습기,
천장형 선풍기,
전기히터,
서큘레이터,
환풍기,
가스레인지,
가스레인지후드,
믹서기 및 착즙기,
오븐,
에어프라이어,
전기밥솥,
와인셀러,
김치냉장고,
음식물처리기,
정수기(이온수기 포함),
무선청소기,
핸디형청소기,
로봇청소기,
브라운관TV,
빔프로젝터,
DSLR 카메라,
캠코더,
VR기기,
태블릿PC ,
휴대전화플립형,
스마트워치,
휴대기기 보조배터리,
복합기,
스캐너,
유심카드,
USB,
가정용무선전화기,
홈네트워크단말기,
전기면도기,
안마의자,
손 건조기,
손 소독기,
내비게이션,
LP플레이어,
오디오,
유선이어폰,
MP3 플레이어,
무선이어폰,
헤드폰,
디지털도어록,
CCTV,
지문인식기,
신용카드 매출발행기,
POS 바코드 스캐너,
드론,
거리측정기(골프용),
주방용 보관용기,
텀블러,
감자칼,
갈릭프레스,
와인잔,
와인디캔터,
접시거치대,
도시락(용기),
얼음틀,
냄비,
도마,
숟가락,
포크,
젓가락,
주방용칼,
채칼,
빵칼,
멀티쿠커,
고무장갑,
종이컵,
물티슈,
항아리,
음료용 빨대,
부탄가스,
일반칫솔,
전동칫솔,
치간칫솔,
치실,
세면대,
비데,
샤워헤드(샤워기+호스),
수도꼭지,
휴지걸이,
변기솔,
각티슈,
치약,
디스펜서,
휠체어,
지팡이,
목발,
체중계,
신장계,
온도계,
체온계,
구급상자,
연고,
알약,
먼지차단마스크,
면봉,
콘택트렌즈,
돋보기,
현미경,
핀셋,
디지털탁상시계,
탁상시계(자명종),
선물,
형광등,
지구본,
종이상자,
전구,
문고리,
달력,
크리스마스트리,
가랜드,
깃발,
보물상자,
트로피,
벽난로,
샹들리에,
어항,
행거,
버티컬블라인드,
쿠션,
병풍,
리본(장식),
디퓨저,
부채,
못,
볼트(나사),
너트,
수평계,
사다리,
멀티탭,
공구함,
맥가이버칼,
플러그,
줄자,
푸시형버튼,
콘센트,
파이프,
성냥,
대패,
가스밸브,
톱,
송곳,
각도기,
볼펜,
연필,
색연필,
팔레트,
스케치북,
깃털,
사무용 가위,
스테이플러,
사무용 집게,
서류봉투,
자석,
풀,
클립,
테이프,
돼지저금통,
계산기,
도장,
강연대,
(차량용)휴대폰거치대,
전자담배,
헤어롤,
마스크팩,
담배,
헤어브러시,
시가(파이프),
다이얼금고,
열쇠형 금고,
안전삼각대,
경광봉,
소화기,
열쇠,
자물쇠,
자전거용 자물쇠,
LP,
1인용게임기,
다인용게임기 컨트롤러,
큐브,
꽹과리,
단소/피리,
클라리넷,
심벌즈,
캐스터네츠,
트라이앵글,
분무기,
리코더,
체스,
바둑판,
건반,
이젤,
탬버린,
셀카봉,
캣타워,
말 안장,
새집,
입마개(강아지),
개껌,
카라반,
러닝머신,
케틀벨,
로잉머신,
철봉,
헬스사이클,
골프클럽,
트램폴린,
스텝퍼/스텝박스,
줄넘기,
훌라후프,
돛단배,
스케이트보드,
모래주머니,
완력기,
골프가방,
랜턴,
손전등,
버너,
파라솔,
웨건,
인라인스케이트(롤러블레이드),
보트,
물안경,
튜브,
오리발,
자전거,
럭비헬멧,
낚시대,
고글,
탁구채,
스노클링고글,
스노보드,
셔틀콕,
배드민턴라켓,
야구배트,
농구대,
아이스스케이트,
볼링핀,
서핑보드,
해먹,
드럼통,
숯,
부메랑,
폭죽(파티용),
하키용스틱,
팽이,
뗏목,
도끼,
아기띠/힙시트,
젖병,
유모차,
아기모자,
유아턱받이,
카시트,
블록장난감(레고),
미끄럼틀,
시소,
딸랑이,
모빌,
바람개비,
쓰레받기,
식기건조대,
빨래건조대,
빨래집게,
다리미판,
단추,
바늘,
지퍼,
먼지제거롤러,
물개,
문어,
해마,
가자미(물고기),
메기,
조개,
잉어,
굴,
오징어,
새우,
돌고래,
대게,
농게,
흰동가리,
왜가리,
제비,
딱다구리,
비둘기,
닭,
까마귀,
꾀꼬리,
참새,
올빼미,
병아리,
백조,
앵무새,
박쥐,
목도리도마뱀,
토코투칸,
갈매기,
오리,
저어새,
청둥오리,
사슴,
염소,
두더지,
너구리,
말,
기린,
비숑프리제,
산양,
코뿔소,
젖소,
양,
쥐,
모기,
전갈,
파리,
집게벌레,
진드기,
해바라기,
야자수,
나무,
선인장,
나뭇잎,
잔디,
소나무,
덤불,
카네이션,
튤립,
백합,
국화,
벼,
장미,
사과,
배,
감귤,
수박,
멜론,
토마토,
키위,
포도,
복숭아,
망고,
체리,
아보카도,
패션후르츠,
리치,
산딸기,
용과,
감,
고구마,
감자,
양파,
마늘,
오이,
고추,
당근,
상추,
가지,
애호박,
아스파라거스,
인삼,
배추,
무,
시금치,
비트,
청경채,
샐러리,
파,
부추,
단호박,
늙은호박,
미역,
코코넛,
완두콩,
팽이버섯,
블루베리,
호두,
아몬드,
땅콩,
밤,
피스타치오,
캐슈넛,
계란,
메추리알,
우유(우유팩),
요구르트,
치즈,
감자튀김,
초콜릿,
사탕,
껌,
젤리,
라면,
쿠키,
커피믹스,
푸딩,
캐러멜,
팝콘,
시리얼,
통조림,
타르트,
롤케이크,
파이,
도너츠/도넛,
마카롱,
탄산음료,
주스,
코코아,
김치,
만두,
샐러드,
돈가스,
떡갈비,
베이컨,
바게트,
소시지,
초밥,
회,
떡,
식빵,
크루아상,
호밀빵(식사용 빵),
케이크,
밥,
어묵,
튀김,
김밥,
스테이크,
파스타,
도시락(식품),
치킨,
국밥,
주먹밥,
쌀국수,
식용유,
잼,
버터,
시럽,
캔맥주,
소주,
사케,
고량주,
양주,
티백(차용),
안경테,
캐리어,
숄더백,
크로스백,
운동화,
스틸레토,
플랫슈즈,
웨지힐,
남성구두,
슬리퍼,
플립플랍,
앵클부츠,
벨트,
머플러,
넥타이,
스냅백,
서류가방,
베레모,
중절모,
비니,
털모자,
귀마개,
손가락장갑,
벙어리장갑,
장지갑,
카드지갑,
동전지갑,
장목양말,
덧신,
캔버스화,
고무신,
나비넥타이,
모자(캡),
학사모,
옷걸이(삼각형),
옷핀,
옷걸이(바지걸이),
귀걸이,
팔찌,
일반 손목시계,
반지,
브로치,
머리띠,
왕관,
보석,
마스카라,
매니큐어,
틴트/립글로스,
반바지,
블라우스/셔츠,
조끼,
원피스,
점퍼,
의사가운,
드레스,
양복,
후드티,
재킷,
청바지,
트레이닝복,
한복,
남성수영복,
브라,
남성용팬티,
여성용팬티,
자동차용 계기판,
변속레버,
스티어링휠(차량용 핸들),
주유기,
오토바이,
전동킥보드,
전동휠,
트럭,
불도저,
캠핑카,
견인차,
군용차,
굴착기,
리어카,
기차,
suv자동차,
헬리콥터,
소형비행선,
열기구,
유람선,
항공모함,
범선,
요트,
여객선,
어선,
우주선,
인공위성,
로켓,
에펠탑,
스핑크스,
타지마할,
피라미드,
자유의 여신상,
콜로세움,
도쿄타워,
동방명주,
마리나베이샌즈,
앙코르와트,
루브르 박물관,
엠파이어스테이트 빌딩,
자금성,
유니버셜 스튜디오(지구본),
런던브릿지,
신전,
풍력발전기,
건물,
가로등,
병원,
집/창고,
바이킹,
관람차,
단두대,
공중전화,
소화전,
위성안테나,
풍차,
게르,
토성,
별,
태양,
별똥별,
우주인,
초승달,
모닥불,
구름,
눈송이,
산,
무지개,
볏짚,
눈사람,
수류탄,
권총,
기관총,
검,
무전기,
철도 레일,
뇌,
심장,
손,
발,
귀,
코,
눈,
입술/입,
눈썹,
수염,
위장,
팔,
이빨/치아,
얼굴,
뼈/해골,
앉아있는 사람,
걷는 사람,
산타클로스,
